id,address,lat,lng
0,"8845, avenue Henri-Julien Montreal",45.545100,-73.642169
1,"12225, rue Desenclaves Montreal",45.543891,-73.699858
2,"5125, avenue Beaconsfield Montreal",45.474656,-73.638910
3,"2466 Viau Montreal Montreal",45.561104,-73.541795
4,"2465, rue Sicard Montreal",45.558573,-73.544012
5,"5096, rue Hertel Montreal",45.505973,-73.846902
6,"5928, rue Andr� Montreal",45.501689,-73.567256
7,"5564 Waverly Montreal",45.524187,-73.600907
8,"182, avenue Champetre Montreal",45.629838,-73.505507
9,"12237, rue Victoria Montreal",45.642889,-73.492295
10,"124, avenue Coolbreeze Montreal",45.451727,-73.803370
11,"6856, 29e avenue Montreal",45.568544,-73.582729
12,"49, avenue Elmwood Montreal",45.518306,-73.603112
13,"4180, boulevad Henri-Bourassa Ouest Montreal",45.525697,-73.699502
14,"1850, chemin Laval Montreal",45.521495,-73.695981
15,"1323, rue Manning Montreal",45.449969,-73.583966
16,"6610 Rue Gouin ouest Montreal",45.527667,-73.727283
17,"10555 Rue J.-J. Gagnier Montreal",45.580487,-73.648433
18,"12207A Rue Green-Lane Montreal",45.509734,-73.749907
19,"15 Rue Alliance Montreal",45.511434,-73.753789
20,"12122 Blvd St-Germain Montreal",45.533363,-73.710313
21,"10200, avenue Georges Baril Montreal",45.557903,-73.657669
22,"8867, rue Berri Montreal",45.546897,-73.641554
23,"10552, avenue Sacr�-coeur, Montreal, Ahuntsic Montreal",45.550000,-73.670000
24,"10285, rue Jeanne-Mance Montreal",45.543458,-73.667503
25,"10135, rue Chambord Montreal",45.559142,-73.655625
26,"10 333 rue De St-Firmin Montreal",45.570595,-73.651637
27,"11715 Letellier Montreal",45.541369,-73.686183
28,"12331 Notre Dame des Anges Montreal",45.534657,-73.716555
29,"10175 Chambord Montreal",45.559309,-73.656238
30,"12360 DeSerres Montreal",45.533573,-73.719705
31,"10660, Rue D'iberville Montreal",45.577493,-73.652606
32,"10854 av d'Auteuil Montreal",45.553063,-73.669700
33,"1450, boulevard Gouin Ouest Montreal",45.545093,-73.699878
34,"10840 St-Fran�ois D'Assise Montreal",45.576634,-73.658122
35,"10072 Berri Montreal",45.551524,-73.659052
36,"10 464, de Lille Montreal",45.573023,-73.645661
37,"12095, boulevard O'Brien Montreal",45.533655,-73.708971
38,"10190, rue Verville Montreal",45.542608,-73.667031
39,"725, boulevard Gouin Est Montreal",45.558326,-73.668781
40,"10200, avenue P�loquin Montreal",45.556581,-73.658690
41,"165, rue Sauriol Ouest Montreal",45.545146,-73.663341
42,"10562, rue Grande-All�e Montreal",45.550485,-73.668199
43,"17, avenue du Ruisseau Montreal",45.511160,-73.754693
44,"1620, boulevard Gouin Ouest Montreal",45.544233,-73.701571
45,"10125, avenue de L'Esplanade Montreal",45.545035,-73.663977
46,"12245, boulevard O'Brien Montreal",45.535660,-73.711804
47,"11884, rue Pasteur Montreal",45.538530,-73.694481
48,"11770, rue Lavigne Montreal",45.529446,-73.701088
49,"10548, rue Laverdure Montreal",45.551386,-73.667805
50,"10340, boulevard Olympia Montreal",45.562086,-73.657733
51,"10465, rue Meunier Montreal",45.545777,-73.669444
52,"6, avenue de l'Alliance Montreal",45.501689,-73.567256
53,"10788, rue Saint-Hubert Montreal",45.558994,-73.669316
54,"12026, boulevard Saint-Germain Montreal",45.532173,-73.708417
55,"8787, rue Ernest Savignac Montreal",45.557327,-73.632441
56,"10015, rue Berri Montreal",45.551254,-73.657376
57,"12109-11, rue Valmont Montreal",45.542774,-73.698437
58,"195, rue Sauriol Ouest Montreal",45.544948,-73.663625
59,"10830, boulevard Olympia Montreal",45.563633,-73.664193
60,"9291, avenue Justine Lacoste Montreal",45.607404,-73.580259
61,"6936 Lionel-Daunais Montreal",45.616153,-73.545623
62,"7751, avenue Mousseau Montreal",45.615140,-73.554416
63,"6180, avenue des Jalesnes Montreal",45.591637,-73.551927
64,"7776, place Seuilly Montreal",45.608259,-73.561039
65,"8201, avenue Vaujours Montreal",45.607015,-73.555924
66,"7020, avenue Guy Montreal",45.612732,-73.547821
67,"41, rue Claude Montreal",45.476745,-73.872855
68,"40, avenue Eastbourne Montreal",45.427181,-73.858881
69,"59, rue Beaurepaire Montreal",45.435383,-73.841148
70,"474 Jubilee Crescent Montreal",45.435525,-73.881594
71,"125, croissant Chartwell Montreal",45.444493,-73.841026
72,"160, rue Woodside Montreal",45.500364,-73.786329
73,"101, rue Franklin Montreal",45.540833,-73.762392
74,"5891, rue Notre Dame de Grace Montreal",45.470131,-73.622020
75,"4911, avenue Kensington Montreal",45.472096,-73.636957
76,"3586 Addington Montreal",45.474271,-73.614304
77,"3840 ave Oxford Montreal",45.472834,-73.618308
78,"5187 Av Belmore Montreal",45.463431,-73.648713
79,"5115 Kensington Montreal",45.473427,-73.640048
80,"4825 Bessborough Ave Montreal",45.468611,-73.638038
81,"5290, rue Patricia Montreal",45.460030,-73.653632
82,"4768, rue M�ridian Montreal",45.501689,-73.567256
83,"4880, Grand Boulevard Montreal",45.472274,-73.636109
84,"4669, avenue Victoria Montreal",45.485326,-73.617420
85,"6449, avenue Coolbrook Montreal",45.489927,-73.646100
86,"4338, avenue Royal Montreal",45.472171,-73.627174
87,"4635, avenue Draper Montreal",45.475203,-73.630895
88,"4408, avenue Mayfair Montreal",45.460862,-73.638418
89,"3442, avenue de Melrose Montreal",45.470111,-73.618098
90,"5765, chemin de la C�te-Saint-Antoine Montreal",45.470908,-73.618347
91,"4835, Bessborough Montreal",45.468652,-73.638143
92,"250 rue Dufferin Montreal",45.483236,-73.640484
93,"145, avenue Westminster North Montreal",45.454600,-73.649285
94,"24, rue Westover Montreal",45.458528,-73.659254
95,"22, avenue Ballantyne Sud Montreal",45.452250,-73.642134
96,"6, rue Malard Montreal",45.488426,-73.837526
97,"9, rue Mayfair Montreal",45.469399,-73.843647
98,"21, croissant Columbia Montreal",45.492810,-73.802978
99,"45 Place Canterbury Montreal",45.492770,-73.812183
100,"3053 Lake Montreal",45.482521,-73.828085
101,"277 Magnolia Montreal",45.479750,-73.845788
102,"4581, rue Lake Montreal",45.480194,-73.831522
103,"67, rue Fredmir Montreal",45.493736,-73.830967
104,"1245, rue Tecumseh Montreal",45.486978,-73.829667
105,"64, rue Fredmir Montreal",45.493638,-73.831412
106,"36, rue Dawn Montreal",45.486992,-73.787106
107,"83, rue Roger Pilon Montreal",45.492765,-73.817980
108,"24, rue Buttonwood Montreal",45.496124,-73.829568
109,"119 Louis Riel Street Montreal",45.482273,-73.814225
110,"210 Rue Touzin Montreal",45.441753,-73.769073
111,"640, Avenue Dawson Montreal",45.441100,-73.735747
112,"226, cercle Malcolm Montreal",45.442477,-73.765009
113,"227, avenue Dahlia Montreal",45.442412,-73.733348
114,"169, rue Beauchemin Montreal",45.507417,-73.865223
115,"324 rue Ren� Mass� Montreal",45.501689,-73.567256
